?pdgmlabel	?prop1	?val1
"gedeo-PInd"	"gender"	"f"
"gedeo-PInd"	"gender"	"m"
"gedeo-PInd"	"gender"	"⊤"
"gedeo-PInd"	"ns#type"	"Term"
"gedeo-PInd"	"number"	"pl"
"gedeo-PInd"	"number"	"sg"
"gedeo-PInd"	"person"	"p1"
"gedeo-PInd"	"person"	"p2"
"gedeo-PInd"	"person"	"p3"
"gedeo-PInd"	"pos"	"pronoun"
"gedeo-PInd"	"proClass"	"independent"
"gedeo-PInd"	"type"	"absolutive"
"gedeo-PInd"	"type"	"nominative"
"gedeo-VNegPerfNonPres-mar"	"gender"	"f"
"gedeo-VNegPerfNonPres-mar"	"gender"	"m"
"gedeo-VNegPerfNonPres-mar"	"gender"	"⊤"
"gedeo-VNegPerfNonPres-mar"	"ns#type"	"Term"
"gedeo-VNegPerfNonPres-mar"	"number"	"pl"
"gedeo-VNegPerfNonPres-mar"	"number"	"sg"
"gedeo-VNegPerfNonPres-mar"	"person"	"p1"
"gedeo-VNegPerfNonPres-mar"	"person"	"p2"
"gedeo-VNegPerfNonPres-mar"	"person"	"p3"
"gedeo-VNegPerfNonPres-mar"	"polarity"	"negative"
"gedeo-VNegPerfNonPres-mar"	"pos"	"verb"
"gedeo-VNegPerfNonPres-mar"	"tam"	"perfectNonPresent"
"gedeo-PInterr"	"interrClass"	"how"
"gedeo-PInterr"	"interrClass"	"how_many"
"gedeo-PInterr"	"interrClass"	"what"
"gedeo-PInterr"	"interrClass"	"when"
"gedeo-PInterr"	"interrClass"	"where"
"gedeo-PInterr"	"interrClass"	"who"
"gedeo-PInterr"	"ns#type"	"Term"
"gedeo-PInterr"	"pos"	"pronoun"
"gedeo-PInterr"	"proClass"	"interrogative"
"gedeo-PPersonal"	"gender"	"f"
"gedeo-PPersonal"	"gender"	"m"
"gedeo-PPersonal"	"gender"	"⊤"
"gedeo-PPersonal"	"ns#type"	"Term"
"gedeo-PPersonal"	"number"	"pl"
"gedeo-PPersonal"	"number"	"sg"
