?pdgmlabel	?prop1	?val1
"burji-VAffJuss-it"	"gender"	"⊤"
"burji-VAffJuss-it"	"ns#type"	"Term"
"burji-VAffJuss-it"	"number"	"pl"
"burji-VAffJuss-it"	"number"	"sg"
"burji-VAffJuss-it"	"person"	"p3"
"burji-VAffJuss-it"	"polarity"	"affirmative"
"burji-VAffJuss-it"	"pos"	"verb"
"burji-VAffJuss-it"	"tam"	"jussive"
"burji-VAffSimplePerfect-it"	"gender"	"f"
"burji-VAffSimplePerfect-it"	"gender"	"m"
"burji-VAffSimplePerfect-it"	"gender"	"⊤"
"burji-VAffSimplePerfect-it"	"ns#type"	"Term"
"burji-VAffSimplePerfect-it"	"number"	"pl"
"burji-VAffSimplePerfect-it"	"number"	"sg"
"burji-VAffSimplePerfect-it"	"person"	"p1"
"burji-VAffSimplePerfect-it"	"person"	"p2"
"burji-VAffSimplePerfect-it"	"person"	"p3"
"burji-VAffSimplePerfect-it"	"polarity"	"affirmative"
"burji-VAffSimplePerfect-it"	"pos"	"verb"
"burji-VAffSimplePerfect-it"	"tam"	"simplePerfect"
"burji-VAffImprtvIrreg-intey"	"ns#type"	"Term"
"burji-VAffImprtvIrreg-intey"	"number"	"pl"
"burji-VAffImprtvIrreg-intey"	"number"	"sg"
"burji-VAffImprtvIrreg-intey"	"polarity"	"affirmative"
"burji-VAffImprtvIrreg-intey"	"pos"	"verb"
"burji-VAffImprtvIrreg-intey"	"suppletion"	"nonSuppletive"
"burji-VAffImprtvIrreg-intey"	"suppletion"	"suppletive"
"burji-VAffImprtvIrreg-intey"	"tam"	"imperative"
"burji-VAffImperfect-intey"	"gender"	"f"
"burji-VAffImperfect-intey"	"gender"	"m"
"burji-VAffImperfect-intey"	"gender"	"⊤"
"burji-VAffImperfect-intey"	"ns#type"	"Term"
"burji-VAffImperfect-intey"	"number"	"pl"
"burji-VAffImperfect-intey"	"number"	"sg"
"burji-VAffImperfect-intey"	"person"	"p1"
"burji-VAffImperfect-intey"	"person"	"p2"
"burji-VAffImperfect-intey"	"person"	"p3"
"burji-VAffImperfect-intey"	"polarity"	"affirmative"
"burji-VAffImperfect-intey"	"pos"	"verb"
"burji-VAffImperfect-intey"	"tam"	"imperfect"
"burji-VAffSimplePerfect-ba'"	"gender"	"f"
"burji-VAffSimplePerfect-ba'"	"gender"	"m"
"burji-VAffSimplePerfect-ba'"	"gender"	"⊤"
"burji-VAffSimplePerfect-ba'"	"ns#type"	"Term"
"burji-VAffSimplePerfect-ba'"	"number"	"pl"
"burji-VAffSimplePerfect-ba'"	"number"	"sg"
"burji-VAffSimplePerfect-ba'"	"person"	"p1"
"burji-VAffSimplePerfect-ba'"	"person"	"p2"
"burji-VAffSimplePerfect-ba'"	"person"	"p3"
"burji-VAffSimplePerfect-ba'"	"polarity"	"affirmative"
"burji-VAffSimplePerfect-ba'"	"pos"	"verb"
"burji-VAffSimplePerfect-ba'"	"tam"	"simplePerfect"
"burji-PDemonstrative"	"case"	"absolutive"
"burji-PDemonstrative"	"case"	"nominative"
"burji-PDemonstrative"	"deixis"	"far"
"burji-PDemonstrative"	"deixis"	"near"
"burji-PDemonstrative"	"gender"	"f"
"burji-PDemonstrative"	"gender"	"m"
"burji-PDemonstrative"	"gender"	"⊤"
"burji-PDemonstrative"	"ns#type"	"Term"
"burji-PDemonstrative"	"number"	"pl"
"burji-PDemonstrative"	"number"	"sg"
"burji-PDemonstrative"	"pos"	"pronoun"
"burji-PDemonstrative"	"proClass"	"demonstrative"
"burji-VDervStem"	"dervStem"	"benefactive"
"burji-VDervStem"	"dervStem"	"causative1"
"burji-VDervStem"	"dervStem"	"causative2"
"burji-VDervStem"	"dervStem"	"combo"
"burji-VDervStem"	"dervStem"	"denominal"
"burji-VDervStem"	"dervStem"	"passive"
"burji-VDervStem"	"dervStem"	"reduplicated"
"burji-VDervStem"	"ns#type"	"Term"
"burji-VDervStem"	"pos"	"verb"
"burji-VDervStem"	"verbMorphClass"	"dervStem"
"burji-VAffImprtv-it"	"gender"	"⊤"
"burji-VAffImprtv-it"	"ns#type"	"Term"
"burji-VAffImprtv-it"	"number"	"pl"
"burji-VAffImprtv-it"	"number"	"sg"
"burji-VAffImprtv-it"	"person"	"p2"
"burji-VAffImprtv-it"	"polarity"	"affirmative"
"burji-VAffImprtv-it"	"pos"	"verb"
"burji-VAffImprtv-it"	"tam"	"imperative"
"burji-PPersonal"	"gender"	"f"
"burji-PPersonal"	"gender"	"m"
"burji-PPersonal"	"gender"	"⊤"
"burji-PPersonal"	"ns#type"	"Term"
"burji-PPersonal"	"number"	"pl"
"burji-PPersonal"	"number"	"sg"
"burji-PPersonal"	"person"	"p1"
"burji-PPersonal"	"person"	"p2"
"burji-PPersonal"	"person"	"p3"
"burji-PPersonal"	"pos"	"pronoun"
"burji-PPersonal"	"proClass"	"personal"
"burji-PPersonal"	"type"	"abs"
"burji-PPersonal"	"type"	"nom"
"burji-PPersonal"	"type"	"obj"
"burji-VAffSimplePerfFocusType-mar"	"focus"	"free"
"burji-VAffSimplePerfFocusType-mar"	"focus"	"subject"
"burji-VAffSimplePerfFocusType-mar"	"gender"	"f"
"burji-VAffSimplePerfFocusType-mar"	"gender"	"m"
"burji-VAffSimplePerfFocusType-mar"	"gender"	"⊤"
"burji-VAffSimplePerfFocusType-mar"	"ns#type"	"Term"
"burji-VAffSimplePerfFocusType-mar"	"number"	"pl"
"burji-VAffSimplePerfFocusType-mar"	"number"	"sg"
"burji-VAffSimplePerfFocusType-mar"	"person"	"p1"
"burji-VAffSimplePerfFocusType-mar"	"person"	"p2"
"burji-VAffSimplePerfFocusType-mar"	"person"	"p3"
"burji-VAffSimplePerfFocusType-mar"	"polarity"	"affirmative"
"burji-VAffSimplePerfFocusType-mar"	"pos"	"verb"
