?pdgmlabel	?prop1	?val1
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"conjClass"	"conjB"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"gender"	"f"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"gender"	"m"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"gender"	"⊤"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"ns#type"	"Term"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"number"	"pl"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"number"	"sg"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"person"	"p1"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"person"	"p2"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"person"	"p3"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"polarity"	"affirmative"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"pos"	"verb"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"stemShape"	"CVCVC"
"tsamakko-VConjBCVCVCAffConsecutive-abun"	"tam"	"consecutive"
"tsamakko-VConjBCVCAffImperf-zi"	"conjClass"	"conjB"
"tsamakko-VConjBCVCAffImperf-zi"	"gender"	"f"
"tsamakko-VConjBCVCAffImperf-zi"	"gender"	"m"
"tsamakko-VConjBCVCAffImperf-zi"	"gender"	"⊤"
"tsamakko-VConjBCVCAffImperf-zi"	"ns#type"	"Term"
"tsamakko-VConjBCVCAffImperf-zi"	"number"	"pl"
"tsamakko-VConjBCVCAffImperf-zi"	"number"	"sg"
"tsamakko-VConjBCVCAffImperf-zi"	"person"	"p1"
"tsamakko-VConjBCVCAffImperf-zi"	"person"	"p2"
"tsamakko-VConjBCVCAffImperf-zi"	"person"	"p3"
"tsamakko-VConjBCVCAffImperf-zi"	"polarity"	"affirmative"
"tsamakko-VConjBCVCAffImperf-zi"	"pos"	"verb"
"tsamakko-VConjBCVCAffImperf-zi"	"stemShape"	"CVC"
"tsamakko-VConjBCVCAffImperf-zi"	"tam"	"imperfect"
"tsamakko-VConjBCVCAffAorist-zi"	"conjClass"	"conjB"
"tsamakko-VConjBCVCAffAorist-zi"	"gender"	"f"
"tsamakko-VConjBCVCAffAorist-zi"	"gender"	"m"
