?pdgmlabel	?prop1	?val1
"koorete-VAffPresPerfDeclPClass2"	"focus"	"declarative"
"koorete-VAffPresPerfDeclPClass2"	"gender"	"f"
"koorete-VAffPresPerfDeclPClass2"	"gender"	"m"
"koorete-VAffPresPerfDeclPClass2"	"gender"	"⊤"
"koorete-VAffPresPerfDeclPClass2"	"ns#type"	"Term"
"koorete-VAffPresPerfDeclPClass2"	"number"	"pl"
"koorete-VAffPresPerfDeclPClass2"	"number"	"plEx"
"koorete-VAffPresPerfDeclPClass2"	"number"	"plIn"
"koorete-VAffPresPerfDeclPClass2"	"number"	"sg"
"koorete-VAffPresPerfDeclPClass2"	"pdgmClass"	"pClass2"
"koorete-VAffPresPerfDeclPClass2"	"person"	"p1"
"koorete-VAffPresPerfDeclPClass2"	"person"	"p2"
"koorete-VAffPresPerfDeclPClass2"	"person"	"p3"
"koorete-VAffPresPerfDeclPClass2"	"polarity"	"affirmative"
"koorete-VAffPresPerfDeclPClass2"	"pos"	"verb"
"koorete-VAffPresPerfDeclPClass2"	"tam"	"presentPerfect"
"koorete-VAffPastPerfDecl-woon"	"conjClass"	"conj1"
"koorete-VAffPastPerfDecl-woon"	"focus"	"declarative"
"koorete-VAffPastPerfDecl-woon"	"gender"	"f"
"koorete-VAffPastPerfDecl-woon"	"gender"	"m"
"koorete-VAffPastPerfDecl-woon"	"gender"	"⊤"
"koorete-VAffPastPerfDecl-woon"	"ns#type"	"Term"
"koorete-VAffPastPerfDecl-woon"	"number"	"pl"
"koorete-VAffPastPerfDecl-woon"	"number"	"plEx"
"koorete-VAffPastPerfDecl-woon"	"number"	"plIn"
"koorete-VAffPastPerfDecl-woon"	"number"	"sg"
"koorete-VAffPastPerfDecl-woon"	"person"	"p1"
"koorete-VAffPastPerfDecl-woon"	"person"	"p2"
"koorete-VAffPastPerfDecl-woon"	"person"	"p3"
"koorete-VAffPastPerfDecl-woon"	"polarity"	"affirmative"
"koorete-VAffPastPerfDecl-woon"	"pos"	"verb"
"koorete-VAffPastPerfDecl-woon"	"tam"	"pastPerfective"
"koorete-VAffPresHabInterrog-bee"	"conjClass"	"conj2"
"koorete-VAffPresHabInterrog-bee"	"focus"	"interrogative"
"koorete-VAffPresHabInterrog-bee"	"gender"	"f"
"koorete-VAffPresHabInterrog-bee"	"gender"	"m"
"koorete-VAffPresHabInterrog-bee"	"gender"	"⊤"
"koorete-VAffPresHabInterrog-bee"	"ns#type"	"Term"
"koorete-VAffPresHabInterrog-bee"	"number"	"pl"
"koorete-VAffPresHabInterrog-bee"	"number"	"plEx"
"koorete-VAffPresHabInterrog-bee"	"number"	"plIn"
"koorete-VAffPresHabInterrog-bee"	"number"	"sg"
