?pdgmlabel	?prop1	?val1
"coptic_S-VAffTemporalSubordinate-bok"	"clauseConjugation"	"temporalSubordinate"
"coptic_S-VAffTemporalSubordinate-bok"	"formClass"	"absoluteInfinitive"
"coptic_S-VAffTemporalSubordinate-bok"	"gender"	"f"
"coptic_S-VAffTemporalSubordinate-bok"	"gender"	"m"
"coptic_S-VAffTemporalSubordinate-bok"	"gender"	"⊤"
"coptic_S-VAffTemporalSubordinate-bok"	"ns#type"	"Term"
"coptic_S-VAffTemporalSubordinate-bok"	"number"	"pl"
"coptic_S-VAffTemporalSubordinate-bok"	"number"	"sg"
"coptic_S-VAffTemporalSubordinate-bok"	"number"	"⊤"
"coptic_S-VAffTemporalSubordinate-bok"	"person"	"nomSubj"
"coptic_S-VAffTemporalSubordinate-bok"	"person"	"p1"
"coptic_S-VAffTemporalSubordinate-bok"	"person"	"p2"
"coptic_S-VAffTemporalSubordinate-bok"	"person"	"p3"
"coptic_S-VAffTemporalSubordinate-bok"	"polarity"	"affirmative"
"coptic_S-VAffTemporalSubordinate-bok"	"pos"	"verb"
"coptic_S-VAffTemporalSubordinate-bok"	"tam"	"simplePast"
"coptic_S-PInd"	"gender"	"f"
"coptic_S-PInd"	"gender"	"m"
"coptic_S-PInd"	"gender"	"⊤"
"coptic_S-PInd"	"ns#type"	"Term"
"coptic_S-PInd"	"number"	"pl"
"coptic_S-PInd"	"number"	"sg"
"coptic_S-PInd"	"person"	"p1"
"coptic_S-PInd"	"person"	"p2"
"coptic_S-PInd"	"person"	"p3"
"coptic_S-PInd"	"pos"	"pronoun"
"coptic_S-PInd"	"proClass"	"independent"
"coptic_S-VAffPerf2-bok"	"clauseConjugation"	"main"
"coptic_S-VAffPerf2-bok"	"formClass"	"absoluteInfinitive"
"coptic_S-VAffPerf2-bok"	"gender"	"f"
"coptic_S-VAffPerf2-bok"	"gender"	"m"
"coptic_S-VAffPerf2-bok"	"gender"	"⊤"
"coptic_S-VAffPerf2-bok"	"ns#type"	"Term"
"coptic_S-VAffPerf2-bok"	"number"	"pl"
"coptic_S-VAffPerf2-bok"	"number"	"sg"
"coptic_S-VAffPerf2-bok"	"number"	"⊤"
"coptic_S-VAffPerf2-bok"	"person"	"nomSubj"
"coptic_S-VAffPerf2-bok"	"person"	"p1"
