conjClass	polarity	rootClass	num	pers	gen	token
Prefix	Affirmative	CCC	Singular	Person1	Common	?a-danbíil
Prefix	Affirmative	CCC	Singular	Person2	Masc	danbiil- `a
Prefix	Affirmative	CCC	Singular	Person2	Fem	danbiil - `i
Prefix	Affirmative	CCC	Singular	Person3	Masc	danbíil
Prefix	Affirmative	CCC	Singular	Person3	Fem	danbíil
Prefix	Affirmative	CCC	Plural	Person1	Common	n-eedbíl
Prefix	Affirmative	CCC	Plural	Person2	Common	t-eedbil- `na
Prefix	Affirmative	CCC	Plural	Person3	Common	?-eedbil- `na
Prefix	Affirmative	CCY	Singular	Person1	Common	?a-dangì
Prefix	Affirmative	CCY	Singular	Person2	Masc	dangii- `a
Prefix	Affirmative	CCY	Singular	Person2	Fem	dangii- `
Prefix	Affirmative	CCY	Singular	Person3	Masc	dangì
Prefix	Affirmative	CCY	Singular	Person3	Fem	dangì
Prefix	Affirmative	CCY	Plural	Person1	Common	ni-déeg
Prefix	Affirmative	CCY	Plural	Person2	Common	ti-deeg- `na
Prefix	Affirmative	CCY	Plural	Person3	Common	?i-deeg- `na
Prefix	Affirmative	CVC	Singular	Person1	Common	?a-nbíis
Prefix	Affirmative	CVC	Singular	Person2	Masc	ti-nbiis- `a
Prefix	Affirmative	CVC	Singular	Person2	Fem	ti-nbiis- `i
Prefix	Affirmative	CVC	Singular	Person3	Masc	?i-nbíis
Prefix	Affirmative	CVC	Singular	Person3	Fem	ti-nbíis
Prefix	Affirmative	CVC	Plural	Person1	Common	n-eebís
Prefix	Affirmative	CVC	Plural	Person2	Common	t-eebis- `na
Prefix	Affirmative	CVC	Plural	Person3	Common	?-eebis- `na
Prefix	Negative	CCC	Singular	Person1	Common	k-aà-dbíl
Prefix	Negative	CCC	Singular	Person2	Masc	kí-t-dbil- `a
Prefix	Negative	CCC	Singular	Person2	Fem	kí-t-dbil- `i
Prefix	Negative	CCC	Singular	Person3	Masc	k-iì-dbíl
Prefix	Negative	CCC	Singular	Person3	Fem	kí-t-dbíl
Prefix	Negative	CCC	Plural	Person1	Common	kí-n-dbíl
Prefix	Negative	CCC	Plural	Person2	Common	kí-t-dbil- `na
Prefix	Negative	CCC	Plural	Person3	Common	k-iì-dbil- `na
Prefix	Negative	CCY	Singular	Person1	Common	k-aà-dgì
Prefix	Negative	CCY	Singular	Person2	Masc	kí-t-dgii- `a
Prefix	Negative	CCY	Singular	Person2	Fem	kí-t-dgii- `
Prefix	Negative	CCY	Singular	Person3	Masc	k-iì-dgì
Prefix	Negative	CCY	Singular	Person3	Fem	kí-t-dgì
Prefix	Negative	CCY	Plural	Person1	Common	kí-n-dgì
Prefix	Negative	CCY	Plural	Person2	Common	kí-t-dgii- `na
Prefix	Negative	CCY	Plural	Person3	Common	k-iì-dgii- `na
Prefix	Negative	CVC	Singular	Person1	Common	k-aà-bís
Prefix	Negative	CVC	Singular	Person2	Masc	kí-t-bis- `a
Prefix	Negative	CVC	Singular	Person2	Fem	kí-t-bis- `i
Prefix	Negative	CVC	Singular	Person3	Masc	k-iì-bís
Prefix	Negative	CVC	Singular	Person3	Fem	kí-t-bís
Prefix	Negative	CVC	Plural	Person1	Common	kí-n-bís
Prefix	Negative	CVC	Plural	Person2	Common	kí-t-bis- `na
Prefix	Negative	CVC	Plural	Person3	Common	k-iì-bis- `na
Suffix	Affirmative		Singular	Person1	Common	tam-àní
Suffix	Affirmative		Singular	Person2	Masc	tam-tinii- `a
Suffix	Affirmative		Singular	Person2	Fem	tam-tinii- `
Suffix	Affirmative		Singular	Person3	Masc	tam-íiní
Suffix	Affirmative		Singular	Person3	Fem	tam-tíní
Suffix	Affirmative		Plural	Person1	Common	tam-này
Suffix	Affirmative		Plural	Person2	Common	tam-teéna
Suffix	Affirmative		Plural	Person3	Common	tam-eén
Suffix	Negative		Singular	Person1	Common	kà-tam-àn
Suffix	Negative		Singular	Person2	Masc	kà-tam-taa- `
Suffix	Negative		Singular	Person2	Fem	kà-tam-taa- `i
Suffix	Negative		Singular	Person3	Masc	kà-tam-yà
Suffix	Negative		Singular	Person3	Fem	kà-tam-tà
Suffix	Negative		Plural	Person1	Common	kà-tam-nà
Suffix	Negative		Plural	Person2	Common	kà-tam-taàna
Suffix	Negative		Plural	Person3	Common	kà-tam-yaàn

