?pdgmlabel	?prop1	?val1
"yaaku-VImprtv"	"ns#type"	"Term"
"yaaku-VImprtv"	"number"	"pl"
"yaaku-VImprtv"	"number"	"sg"
"yaaku-VImprtv"	"person"	"p1"
"yaaku-VImprtv"	"person"	"p2"
"yaaku-VImprtv"	"pos"	"verb"
"yaaku-VImprtv"	"tam"	"imperative"
"yaaku-VSubjPref"	"aspect"	"definite"
"yaaku-VSubjPref"	"aspect"	"indefinite"
"yaaku-VSubjPref"	"ns#type"	"Term"
"yaaku-VSubjPref"	"person"	"p1"
"yaaku-VSubjPref"	"person"	"p2"
"yaaku-VSubjPref"	"person"	"p3"
"yaaku-VSubjPref"	"pos"	"verb"
"yaaku-VSubjPref"	"verbMorphClass"	"subjPref"
"yaaku-PDem"	"conjClass"	"demFar"
"yaaku-PDem"	"conjClass"	"demNear"
"yaaku-PDem"	"conjClass"	"demRef"
"yaaku-PDem"	"gender"	"f"
"yaaku-PDem"	"gender"	"m"
"yaaku-PDem"	"gender"	"⊤"
"yaaku-PDem"	"headNoun"	"deleted"
"yaaku-PDem"	"headNoun"	"present"
"yaaku-PDem"	"ns#type"	"Term"
"yaaku-PDem"	"number"	"pl"
"yaaku-PDem"	"number"	"sg"
"yaaku-PDem"	"pos"	"pronoun"
"yaaku-PDem"	"proClass"	"demonstrative"
"yaaku-VPerfCopLoc"	"gender"	"f"
"yaaku-VPerfCopLoc"	"gender"	"m"
"yaaku-VPerfCopLoc"	"gender"	"⊤"
"yaaku-VPerfCopLoc"	"ns#type"	"Term"
"yaaku-VPerfCopLoc"	"number"	"pl"
"yaaku-VPerfCopLoc"	"number"	"sg"
"yaaku-VPerfCopLoc"	"person"	"p1"
"yaaku-VPerfCopLoc"	"person"	"p2"
"yaaku-VPerfCopLoc"	"person"	"p3"
"yaaku-VPerfCopLoc"	"pos"	"verb"
"yaaku-VPerfCopLoc"	"tam"	"perfect"
"yaaku-VPerfCopLoc"	"verbMorphClass"	"copLoc"
"yaaku-VAffDefinitePerfHave"	"aspect"	"definite"
"yaaku-VAffDefinitePerfHave"	"gender"	"⊤"
"yaaku-VAffDefinitePerfHave"	"ns#type"	"Term"
"yaaku-VAffDefinitePerfHave"	"number"	"pl"
"yaaku-VAffDefinitePerfHave"	"number"	"sg"
"yaaku-VAffDefinitePerfHave"	"person"	"p1"
"yaaku-VAffDefinitePerfHave"	"person"	"p2"
"yaaku-VAffDefinitePerfHave"	"person"	"p3"
"yaaku-VAffDefinitePerfHave"	"polarity"	"affirmative"
"yaaku-VAffDefinitePerfHave"	"pos"	"verb"
"yaaku-VAffDefinitePerfHave"	"tam"	"perfect"
"yaaku-VAffDefinitePerfHave"	"verbMorphClass"	"have"
"yaaku-NAgreementMarker"	"conjClass"	"adjInterr"
"yaaku-NAgreementMarker"	"conjClass"	"adjective"
"yaaku-NAgreementMarker"	"conjClass"	"demFar"
"yaaku-NAgreementMarker"	"conjClass"	"demNear"
"yaaku-NAgreementMarker"	"conjClass"	"demRef"
"yaaku-NAgreementMarker"	"conjClass"	"possNom"
"yaaku-NAgreementMarker"	"conjClass"	"possPro"
"yaaku-NAgreementMarker"	"conjClass"	"relative"
"yaaku-NAgreementMarker"	"conjClass"	"verb"
"yaaku-NAgreementMarker"	"gender"	"f"
"yaaku-NAgreementMarker"	"gender"	"m"
"yaaku-NAgreementMarker"	"gender"	"⊤"
"yaaku-NAgreementMarker"	"ns#type"	"Term"
"yaaku-NAgreementMarker"	"number"	"pl"
"yaaku-NAgreementMarker"	"number"	"sg"
"yaaku-NAgreementMarker"	"pos"	"noun"
"yaaku-NAgreementMarker"	"proClass"	"agreementMarker"
"yaaku-VAffDefinitePerf-wax"	"aspect"	"definite"
"yaaku-VAffDefinitePerf-wax"	"conjClass"	"formSet5"
"yaaku-VAffDefinitePerf-wax"	"gender"	"f"
"yaaku-VAffDefinitePerf-wax"	"gender"	"m"
"yaaku-VAffDefinitePerf-wax"	"gender"	"⊤"
"yaaku-VAffDefinitePerf-wax"	"ns#type"	"Term"
"yaaku-VAffDefinitePerf-wax"	"number"	"pl"
"yaaku-VAffDefinitePerf-wax"	"number"	"sg"
"yaaku-VAffDefinitePerf-wax"	"person"	"p1"
"yaaku-VAffDefinitePerf-wax"	"person"	"p2"
"yaaku-VAffDefinitePerf-wax"	"person"	"p3"
