?pdgmlabel	?prop1	?val1
"sidaama-VInfinitiveConj-it"	"gender"	"f"
"sidaama-VInfinitiveConj-it"	"gender"	"m"
"sidaama-VInfinitiveConj-it"	"gender"	"⊤"
"sidaama-VInfinitiveConj-it"	"ns#type"	"Term"
"sidaama-VInfinitiveConj-it"	"number"	"pl"
"sidaama-VInfinitiveConj-it"	"number"	"sg"
"sidaama-VInfinitiveConj-it"	"person"	"p1"
"sidaama-VInfinitiveConj-it"	"person"	"p2"
"sidaama-VInfinitiveConj-it"	"person"	"p3"
"sidaama-VInfinitiveConj-it"	"pos"	"verb"
"sidaama-VInfinitiveConj-it"	"tam"	"infinitiveConj"
"sidaama-PIndependent"	"case"	"accusative"
"sidaama-PIndependent"	"case"	"genitive"
"sidaama-PIndependent"	"case"	"nominative"
"sidaama-PIndependent"	"gender"	"f"
"sidaama-PIndependent"	"gender"	"m"
"sidaama-PIndependent"	"gender"	"⊤"
"sidaama-PIndependent"	"ns#type"	"Term"
"sidaama-PIndependent"	"number"	"pl"
"sidaama-PIndependent"	"number"	"sg"
"sidaama-PIndependent"	"person"	"p1"
"sidaama-PIndependent"	"person"	"p2"
"sidaama-PIndependent"	"person"	"p3"
"sidaama-PIndependent"	"pos"	"pronoun"
"sidaama-PIndependent"	"proClass"	"independent"
"sidaama-VPresProg-it"	"gender"	"f"
"sidaama-VPresProg-it"	"gender"	"m"
"sidaama-VPresProg-it"	"gender"	"⊤"
"sidaama-VPresProg-it"	"ns#type"	"Term"
"sidaama-VPresProg-it"	"number"	"pl"
"sidaama-VPresProg-it"	"number"	"sg"
"sidaama-VPresProg-it"	"pdgmType"	"compound"
"sidaama-VPresProg-it"	"person"	"p1"
"sidaama-VPresProg-it"	"person"	"p2"
"sidaama-VPresProg-it"	"person"	"p3"
"sidaama-VPresProg-it"	"pos"	"verb"
"sidaama-VPresProg-it"	"tam"	"presentProgressive"
"sidaama-VPresPerf-haishsh"	"gender"	"f"
"sidaama-VPresPerf-haishsh"	"gender"	"m"
"sidaama-VPresPerf-haishsh"	"gender"	"⊤"
"sidaama-VPresPerf-haishsh"	"ns#type"	"Term"
"sidaama-VPresPerf-haishsh"	"number"	"pl"
"sidaama-VPresPerf-haishsh"	"number"	"sg"
"sidaama-VPresPerf-haishsh"	"person"	"p1"
"sidaama-VPresPerf-haishsh"	"person"	"p2"
"sidaama-VPresPerf-haishsh"	"person"	"p3"
"sidaama-VPresPerf-haishsh"	"pos"	"verb"
"sidaama-VPresPerf-haishsh"	"tam"	"presentPerfect"
"sidaama-VSimplePerfSuffStructure-wi'l"	"gender"	"f"
"sidaama-VSimplePerfSuffStructure-wi'l"	"gender"	"m"
"sidaama-VSimplePerfSuffStructure-wi'l"	"gender"	"⊤"
