?pdgmlabel	?prop1	?val1
"dahalo-VAffNonPastGen-lub"	"aspect"	"U"
"dahalo-VAffNonPastGen-lub"	"aspect"	"⊤"
"dahalo-VAffNonPastGen-lub"	"gender"	"f"
"dahalo-VAffNonPastGen-lub"	"gender"	"m"
"dahalo-VAffNonPastGen-lub"	"gender"	"⊤"
"dahalo-VAffNonPastGen-lub"	"ns#type"	"Term"
"dahalo-VAffNonPastGen-lub"	"number"	"pl"
"dahalo-VAffNonPastGen-lub"	"number"	"sg"
"dahalo-VAffNonPastGen-lub"	"person"	"p1"
"dahalo-VAffNonPastGen-lub"	"person"	"p2"
"dahalo-VAffNonPastGen-lub"	"person"	"p3"
"dahalo-VAffNonPastGen-lub"	"polarity"	"affirmative"
"dahalo-VAffNonPastGen-lub"	"pos"	"verb"
"dahalo-VAffNonPastGen-lub"	"tam"	"nonPastGen"
"dahalo-VNegNonPastGen-lub"	"aspect"	"U"
"dahalo-VNegNonPastGen-lub"	"aspect"	"⊤"
"dahalo-VNegNonPastGen-lub"	"gender"	"⊤"
"dahalo-VNegNonPastGen-lub"	"ns#type"	"Term"
"dahalo-VNegNonPastGen-lub"	"number"	"⊤"
"dahalo-VNegNonPastGen-lub"	"person"	"⊤"
"dahalo-VNegNonPastGen-lub"	"polarity"	"negative"
"dahalo-VNegNonPastGen-lub"	"pos"	"verb"
"dahalo-VNegNonPastGen-lub"	"tam"	"nonPastGen"
"dahalo-VAffPastSubjPerfective-lub"	"aspect"	"perfective"
"dahalo-VAffPastSubjPerfective-lub"	"gender"	"f"
"dahalo-VAffPastSubjPerfective-lub"	"gender"	"m"
"dahalo-VAffPastSubjPerfective-lub"	"gender"	"⊤"
"dahalo-VAffPastSubjPerfective-lub"	"ns#type"	"Term"
"dahalo-VAffPastSubjPerfective-lub"	"number"	"pl"
"dahalo-VAffPastSubjPerfective-lub"	"number"	"sg"
"dahalo-VAffPastSubjPerfective-lub"	"person"	"p1"
"dahalo-VAffPastSubjPerfective-lub"	"person"	"p2"
