?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"ablative"	"shinassha-PIndepCase"
"pronoun"	"case"	"benefactive"	"shinassha-PIndepCase"
"pronoun"	"case"	"comitative"	"shinassha-PIndepCase"
"pronoun"	"case"	"dative"	"shinassha-PIndepCase"
"pronoun"	"case"	"directive"	"shinassha-PIndepCase"
"pronoun"	"case"	"locative"	"shinassha-PIndepCase"
"pronoun"	"ns#type"	"Term"	"shinassha-PIndep"
"pronoun"	"ns#type"	"Term"	"shinassha-PIndepCase"
"pronoun"	"ns#type"	"Term"	"shinassha-PPossAdj"
"pronoun"	"ns#type"	"Term"	"shinassha-PPossNoun"
"pronoun"	"ns#type"	"Term"	"shinassha-PSubj"
"pronoun"	"proClass"	"indepCase"	"shinassha-PIndepCase"
"pronoun"	"proClass"	"independent"	"shinassha-PIndep"
"pronoun"	"proClass"	"possAdj"	"shinassha-PPossAdj"
"pronoun"	"proClass"	"possNoun"	"shinassha-PPossNoun"
"pronoun"	"proClass"	"subject"	"shinassha-PSubj"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffDesidAorHab-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffDesidFutPunct-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffDesidPretPerf-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffGerundImperfFut-et"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffGerundImperfPres-miits"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffGerundImperfPret-miits"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicAorIngr-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicAorProgr-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicFutPerf-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicFutProgr-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicPlusPerf-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicPresIngrA-am"
"verb"	"complement"	"compound"	"shinassha-VConj1CompAffIndicPresIngrB-am"
