?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"accusative"	"kambaata-PDemonstrative"
"pronoun"	"case"	"accusative"	"kambaata-PPersonal"
"pronoun"	"case"	"nominative"	"kambaata-PDemonstrative"
"pronoun"	"case"	"nominative"	"kambaata-PPersonal"
"pronoun"	"case"	"possessive"	"kambaata-PPersonal"
"pronoun"	"deixis"	"far"	"kambaata-PDemonstrative"
"pronoun"	"deixis"	"near"	"kambaata-PDemonstrative"
"pronoun"	"interrClass"	"how"	"kambaata-PInterr"
"pronoun"	"interrClass"	"how_many"	"kambaata-PInterr"
"pronoun"	"interrClass"	"what"	"kambaata-PInterr"
"pronoun"	"interrClass"	"when"	"kambaata-PInterr"
"pronoun"	"interrClass"	"where"	"kambaata-PInterr"
"pronoun"	"interrClass"	"who"	"kambaata-PInterr"
"pronoun"	"ns#type"	"Term"	"kambaata-PDemonstrative"
"pronoun"	"ns#type"	"Term"	"kambaata-PInterr"
"pronoun"	"ns#type"	"Term"	"kambaata-PPersonal"
"pronoun"	"proClass"	"demonstrative"	"kambaata-PDemonstrative"
"pronoun"	"proClass"	"independent"	"kambaata-PPersonal"
"pronoun"	"proClass"	"interrogative"	"kambaata-PInterr"
"pronoun"	"proClass"	"suffix"	"kambaata-PPersonal"
"verb"	"dervStem"	"benefactive"	"kambaata-VDervStem"
"verb"	"dervStem"	"causative2"	"kambaata-VDervStem"
"verb"	"dervStem"	"combination"	"kambaata-VDervStem"
"verb"	"dervStem"	"passive"	"kambaata-VDervStem"
"verb"	"dervStem"	"reduplicated"	"kambaata-VDervStem"
"verb"	"ns#type"	"Term"	"kambaata-VAffImperfect-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffImperfectMar-"
"verb"	"ns#type"	"Term"	"kambaata-VAffImprtv-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffImprtvMar-"
"verb"	"ns#type"	"Term"	"kambaata-VAffJussive-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffJussiveMar-"
"verb"	"ns#type"	"Term"	"kambaata-VAffPastProg-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffPastProgMar-"
"verb"	"ns#type"	"Term"	"kambaata-VAffPresPerf-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffPresPerfMar-"
"verb"	"ns#type"	"Term"	"kambaata-VAffPresProg-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffPresProgMar-"
"verb"	"ns#type"	"Term"	"kambaata-VAffSimplePerf-mar"
"verb"	"ns#type"	"Term"	"kambaata-VAffSimplePerfMar-"
"verb"	"ns#type"	"Term"	"kambaata-VDervStem"
"verb"	"ns#type"	"Term"	"kambaata-VNegImprtv-mar"
"verb"	"ns#type"	"Term"	"kambaata-VNegImprtvMar-"
"verb"	"ns#type"	"Term"	"kambaata-VSubjMarkerTemplates"
"verb"	"polarity"	"affirmative"	"kambaata-VAffImperfect-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffImperfectMar-"
"verb"	"polarity"	"affirmative"	"kambaata-VAffImprtv-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffImprtvMar-"
"verb"	"polarity"	"affirmative"	"kambaata-VAffJussive-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffJussiveMar-"
"verb"	"polarity"	"affirmative"	"kambaata-VAffPastProg-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffPastProgMar-"
"verb"	"polarity"	"affirmative"	"kambaata-VAffPresPerf-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffPresPerfMar-"
"verb"	"polarity"	"affirmative"	"kambaata-VAffPresProg-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffPresProgMar-"
"verb"	"polarity"	"affirmative"	"kambaata-VAffSimplePerf-mar"
"verb"	"polarity"	"affirmative"	"kambaata-VAffSimplePerfMar-"
"verb"	"polarity"	"negative"	"kambaata-VNegImprtv-mar"
"verb"	"polarity"	"negative"	"kambaata-VNegImprtvMar-"
"verb"	"tam"	"imperative"	"kambaata-VAffImprtvMar-"
"verb"	"tam"	"imperative"	"kambaata-VNegImprtvMar-"
"verb"	"tam"	"imperfect"	"kambaata-VAffImperfectMar-"
"verb"	"tam"	"jussive"	"kambaata-VAffJussiveMar-"
"verb"	"tam"	"pastProgressive"	"kambaata-VAffPastProg-mar"
"verb"	"tam"	"pastProgressive"	"kambaata-VAffPastProgMar-"
"verb"	"tam"	"presentPerfect"	"kambaata-VAffPresPerf-mar"
"verb"	"tam"	"presentPerfect"	"kambaata-VAffPresPerfMar-"
"verb"	"tam"	"presentProgressive"	"kambaata-VAffPresProg-mar"
"verb"	"tam"	"presentProgressive"	"kambaata-VAffPresProgMar-"
"verb"	"tam"	"simplePerf"	"kambaata-VAffSimplePerfMar-"
"verb"	"tam"	"simplePerfect"	"kambaata-VAffSimplePerf-mar"
"verb"	"verbMorphClass"	"dervStem"	"kambaata-VDervStem"
"verb"	"verbMorphClass"	"subjMarkerTemplates"	"kambaata-VSubjMarkerTemplates"
