?langLabel	?clauseType	?num	?pers	?gen	?token
"Beja-arteiga"		"Singular"	"Person1"	"Common"	"?-iidbíl"
"Beja-arteiga"		"Singular"	"Person2"	"Masc"	"t-iidbil- `a"
"Beja-arteiga"		"Singular"	"Person2"	"Fem"	"t-iidbil- `i"
"Beja-arteiga"		"Singular"	"Person3"	"Masc"	"?-iidbíl"
"Beja-arteiga"		"Singular"	"Person3"	"Fem"	"t-iidbíl"
"Beja-arteiga"		"Plural"	"Person1"	"Common"	"n-iidbíl"
"Beja-arteiga"		"Plural"	"Person2"	"Common"	"t-iidbil- `na"
"Beja-arteiga"		"Plural"	"Person3"	"Common"	"?-iidbil- `na"
"Oromo"		"Singular"	"Person1"	"Common"	"beek-e"
"Oromo"		"Singular"	"Person2"	"Common"	"beek-te"
"Oromo"		"Singular"	"Person3"	"Masc"	"beek-e"
"Oromo"		"Singular"	"Person3"	"Fem"	"beek-te"
"Oromo"		"Plural"	"Person1"	"Common"	"beek-ne"
"Oromo"		"Plural"	"Person2"	"Common"	"beek-tan(i)"
"Oromo"		"Plural"	"Person3"	"Common"	"beek-an(i)"
