?pdgmlabel	?prop1	?val1
"shinassha-VAffIndicAorHabMonorad-maa"	"gender"	"m"
"shinassha-VAffIndicAorHabMonorad-maa"	"mood"	"indicative"
"shinassha-VAffIndicAorHabMonorad-maa"	"ns#type"	"Term"
"shinassha-VAffIndicAorHabMonorad-maa"	"number"	"sg"
"shinassha-VAffIndicAorHabMonorad-maa"	"person"	"p3"
"shinassha-VAffIndicAorHabMonorad-maa"	"polarity"	"affirmative"
"shinassha-VAffIndicAorHabMonorad-maa"	"pos"	"verb"
"shinassha-VAffIndicAorHabMonorad-maa"	"tam"	"aoristHabitual"
"shinassha-VAffIndicAorHabMonorad-maa"	"verbMorphClass"	"monorad"
"shinassha-VConj1CompNegIndicFutProgr-am"	"complement"	"compound"
"shinassha-VConj1CompNegIndicFutProgr-am"	"conjClass"	"conj1"
"shinassha-VConj1CompNegIndicFutProgr-am"	"gender"	"f"
"shinassha-VConj1CompNegIndicFutProgr-am"	"gender"	"m"
"shinassha-VConj1CompNegIndicFutProgr-am"	"gender"	"⊤"
"shinassha-VConj1CompNegIndicFutProgr-am"	"mood"	"indicative"
"shinassha-VConj1CompNegIndicFutProgr-am"	"ns#type"	"Term"
"shinassha-VConj1CompNegIndicFutProgr-am"	"number"	"pl"
"shinassha-VConj1CompNegIndicFutProgr-am"	"number"	"sg"
"shinassha-VConj1CompNegIndicFutProgr-am"	"person"	"p1"
"shinassha-VConj1CompNegIndicFutProgr-am"	"person"	"p2"
"shinassha-VConj1CompNegIndicFutProgr-am"	"person"	"p3"
"shinassha-VConj1CompNegIndicFutProgr-am"	"polarity"	"negative"
"shinassha-VConj1CompNegIndicFutProgr-am"	"pos"	"verb"
"shinassha-VConj1CompNegIndicFutProgr-am"	"tam"	"futureProgressive"
"shinassha-VAffIndicFutProgrMonorad-maa"	"gender"	"m"
"shinassha-VAffIndicFutProgrMonorad-maa"	"mood"	"indicative"
"shinassha-VAffIndicFutProgrMonorad-maa"	"ns#type"	"Term"
"shinassha-VAffIndicFutProgrMonorad-maa"	"number"	"sg"
"shinassha-VAffIndicFutProgrMonorad-maa"	"person"	"p3"
"shinassha-VAffIndicFutProgrMonorad-maa"	"polarity"	"affirmative"
"shinassha-VAffIndicFutProgrMonorad-maa"	"pos"	"verb"
"shinassha-VAffIndicFutProgrMonorad-maa"	"tam"	"futureProgressive"
"shinassha-VAffIndicFutProgrMonorad-maa"	"verbMorphClass"	"monorad"
"shinassha-VConj1SmplAffIndicAorHab-am"	"complement"	"simple"
"shinassha-VConj1SmplAffIndicAorHab-am"	"conjClass"	"conj1"
"shinassha-VConj1SmplAffIndicAorHab-am"	"gender"	"f"
"shinassha-VConj1SmplAffIndicAorHab-am"	"gender"	"m"
"shinassha-VConj1SmplAffIndicAorHab-am"	"gender"	"⊤"
"shinassha-VConj1SmplAffIndicAorHab-am"	"mood"	"indicative"
"shinassha-VConj1SmplAffIndicAorHab-am"	"ns#type"	"Term"
"shinassha-VConj1SmplAffIndicAorHab-am"	"number"	"pl"
"shinassha-VConj1SmplAffIndicAorHab-am"	"number"	"sg"
"shinassha-VConj1SmplAffIndicAorHab-am"	"person"	"p1"
"shinassha-VConj1SmplAffIndicAorHab-am"	"person"	"p2"
"shinassha-VConj1SmplAffIndicAorHab-am"	"person"	"p3"
"shinassha-VConj1SmplAffIndicAorHab-am"	"polarity"	"affirmative"
"shinassha-VConj1SmplAffIndicAorHab-am"	"pos"	"verb"
"shinassha-VConj1SmplAffIndicAorHab-am"	"tam"	"aoristHabitual"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"conjClass"	"conj5"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"gender"	"⊤"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"mood"	"indicative"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"ns#type"	"Term"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"number"	"pl"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"number"	"sg"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"person"	"p1"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"person"	"p2"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"polarity"	"affirmative"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"pos"	"verb"
"shinassha-VConj5AffIndicAorPunct-shuwey"	"tam"	"aoristPunctual"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"complement"	"simple"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"conjClass"	"conj1"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"gender"	"f"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"gender"	"m"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"gender"	"⊤"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"mood"	"irrealis"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"ns#type"	"Term"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"number"	"pl"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"number"	"sg"
"shinassha-VConj1SmplNegIrrealPret-gargaar"	"person"	"p1"
