?pdgmlabel	?prop1	?val1
"gawwada-VNegFutureTemplate"	"gender"	"f"
"gawwada-VNegFutureTemplate"	"gender"	"m"
"gawwada-VNegFutureTemplate"	"gender"	"⊤"
"gawwada-VNegFutureTemplate"	"ns#type"	"Term"
"gawwada-VNegFutureTemplate"	"number"	"pl"
"gawwada-VNegFutureTemplate"	"number"	"sg"
"gawwada-VNegFutureTemplate"	"pdgmType"	"template"
"gawwada-VNegFutureTemplate"	"person"	"p1"
"gawwada-VNegFutureTemplate"	"person"	"p2"
"gawwada-VNegFutureTemplate"	"person"	"p3"
"gawwada-VNegFutureTemplate"	"polarity"	"negative"
"gawwada-VNegFutureTemplate"	"pos"	"verb"
"gawwada-VNegFutureTemplate"	"tense1"	"past"
"gawwada-VNegFutureTemplate"	"tense1"	"present"
"gawwada-VNegFutureTemplate"	"tense2"	"future"
"gawwada-VPerfectiveHabitualTemplate"	"gender"	"f"
"gawwada-VPerfectiveHabitualTemplate"	"gender"	"m"
"gawwada-VPerfectiveHabitualTemplate"	"gender"	"⊤"
"gawwada-VPerfectiveHabitualTemplate"	"inflClass"	"class1"
"gawwada-VPerfectiveHabitualTemplate"	"inflClass"	"class2"
"gawwada-VPerfectiveHabitualTemplate"	"ns#type"	"Term"
"gawwada-VPerfectiveHabitualTemplate"	"number"	"pl"
"gawwada-VPerfectiveHabitualTemplate"	"number"	"sg"
"gawwada-VPerfectiveHabitualTemplate"	"pdgmType"	"template"
"gawwada-VPerfectiveHabitualTemplate"	"person"	"p1"
"gawwada-VPerfectiveHabitualTemplate"	"person"	"p2"
"gawwada-VPerfectiveHabitualTemplate"	"person"	"p3"
"gawwada-VPerfectiveHabitualTemplate"	"pos"	"verb"
"gawwada-VPerfectiveHabitualTemplate"	"tense1"	"perfective"
"gawwada-VPerfectiveHabitualTemplate"	"tense2"	"habitual"
"gawwada-VPerfectiveFutureTemplate"	"gender"	"f"
"gawwada-VPerfectiveFutureTemplate"	"gender"	"m"
"gawwada-VPerfectiveFutureTemplate"	"gender"	"⊤"
"gawwada-VPerfectiveFutureTemplate"	"inflClass"	"class1"
"gawwada-VPerfectiveFutureTemplate"	"inflClass"	"class2"
"gawwada-VPerfectiveFutureTemplate"	"ns#type"	"Term"
"gawwada-VPerfectiveFutureTemplate"	"number"	"pl"
"gawwada-VPerfectiveFutureTemplate"	"number"	"sg"
