?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"absolutive"	"gedeo-PDemonstrative"
"pronoun"	"case"	"nominative"	"gedeo-PDemonstrative"
"pronoun"	"caseHead"	"absolutive"	"gedeo-PPoss"
"pronoun"	"deixis"	"far"	"gedeo-PDemonstrative"
"pronoun"	"deixis"	"near"	"gedeo-PDemonstrative"
"pronoun"	"genderHead"	"f"	"gedeo-PPoss"
"pronoun"	"genderHead"	"m"	"gedeo-PPoss"
"pronoun"	"genderPoss"	"f"	"gedeo-PPoss"
"pronoun"	"genderPoss"	"m"	"gedeo-PPoss"
"pronoun"	"interrClass"	"how"	"gedeo-PInterr"
"pronoun"	"interrClass"	"how_many"	"gedeo-PInterr"
"pronoun"	"interrClass"	"what"	"gedeo-PInterr"
"pronoun"	"interrClass"	"when"	"gedeo-PInterr"
"pronoun"	"interrClass"	"where"	"gedeo-PInterr"
"pronoun"	"interrClass"	"who"	"gedeo-PInterr"
"pronoun"	"ns#type"	"Term"	"gedeo-PDemonstrative"
"pronoun"	"ns#type"	"Term"	"gedeo-PInd"
"pronoun"	"ns#type"	"Term"	"gedeo-PInterr"
"pronoun"	"ns#type"	"Term"	"gedeo-PPersonal"
"pronoun"	"ns#type"	"Term"	"gedeo-PPoss"
"pronoun"	"proClass"	"demonstrative"	"gedeo-PDemonstrative"
"pronoun"	"proClass"	"independent"	"gedeo-PInd"
"pronoun"	"proClass"	"interrogative"	"gedeo-PInterr"
"pronoun"	"proClass"	"personal"	"gedeo-PPersonal"
"pronoun"	"proClass"	"possessive"	"gedeo-PPoss"
"pronoun"	"type"	"absolutive"	"gedeo-PInd"
"pronoun"	"type"	"absolutive"	"gedeo-PPersonal"
"pronoun"	"type"	"nominative"	"gedeo-PInd"
"pronoun"	"type"	"nominative"	"gedeo-PPersonal"
"verb"	"ns#type"	"Term"	"gedeo-VAffDepCond-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffDepPurp-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffHypothNonActual-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffHypothNonPres-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffImperfActual-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffImperfFut-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffImperfNonActual-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffImperfNonPres-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffImperfNonPres2-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffPerfActual-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffPerfNonActual-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffPerfNonPres-mar"
"verb"	"ns#type"	"Term"	"gedeo-VAffPerfNonPres2-mar"
"verb"	"ns#type"	"Term"	"gedeo-VInterrPerf-mar"
"verb"	"ns#type"	"Term"	"gedeo-VNegImprtv-mar"
"verb"	"ns#type"	"Term"	"gedeo-VNegPerfActual-mar"
"verb"	"ns#type"	"Term"	"gedeo-VNegPerfNonPres-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffDepCond-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffDepPurp-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffHypothNonActual-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffHypothNonPres-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffImperfActual-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffImperfFut-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffImperfNonActual-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffImperfNonPres-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffImperfNonPres2-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffPerfActual-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffPerfNonActual-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffPerfNonPres-mar"
"verb"	"polarity"	"affirmative"	"gedeo-VAffPerfNonPres2-mar"
"verb"	"polarity"	"interrogative"	"gedeo-VInterrPerf-mar"
"verb"	"polarity"	"negative"	"gedeo-VNegImprtv-mar"
"verb"	"polarity"	"negative"	"gedeo-VNegPerfActual-mar"
"verb"	"polarity"	"negative"	"gedeo-VNegPerfNonPres-mar"
"verb"	"tam"	"dependentConditional"	"gedeo-VAffDepCond-mar"
"verb"	"tam"	"dependentPurposive"	"gedeo-VAffDepPurp-mar"
"verb"	"tam"	"hypothNonActual"	"gedeo-VAffHypothNonActual-mar"
"verb"	"tam"	"hypothNonPres"	"gedeo-VAffHypothNonPres-mar"
"verb"	"tam"	"imperative"	"gedeo-VNegImprtv-mar"
"verb"	"tam"	"imperfectActual"	"gedeo-VAffImperfActual-mar"
"verb"	"tam"	"imperfectFuture"	"gedeo-VAffImperfFut-mar"
"verb"	"tam"	"imperfectNonActual"	"gedeo-VAffImperfNonActual-mar"
"verb"	"tam"	"imperfectNonPresent"	"gedeo-VAffImperfNonPres-mar"
"verb"	"tam"	"imperfectNonPresent2"	"gedeo-VAffImperfNonPres2-mar"
"verb"	"tam"	"perfect"	"gedeo-VInterrPerf-mar"
"verb"	"tam"	"perfectActual"	"gedeo-VAffPerfActual-mar"
"verb"	"tam"	"perfectActual"	"gedeo-VNegPerfActual-mar"
"verb"	"tam"	"perfectNonActual"	"gedeo-VAffPerfNonActual-mar"
"verb"	"tam"	"perfectNonPresent"	"gedeo-VAffPerfNonPres-mar"
"verb"	"tam"	"perfectNonPresent"	"gedeo-VNegPerfNonPres-mar"
"verb"	"tam"	"perfectNonPresent2"	"gedeo-VAffPerfNonPres2-mar"
