?pdgmlabel	?prop1	?val1
"yemsa-VConj3bAffPresIngrMonosyll-i"	"conjClass"	"conj3b"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"gender"	"⊤"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"ns#type"	"Term"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"number"	"sg"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"person"	"p1"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"polarity"	"affirmative"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"pos"	"verb"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"tam"	"presentIngressive"
"yemsa-VConj3bAffPresIngrMonosyll-i"	"verbMorphClass"	"monosyll"
"yemsa-VConj1AffDesiderative-am"	"conjClass"	"conj1"
"yemsa-VConj1AffDesiderative-am"	"gender"	"f"
"yemsa-VConj1AffDesiderative-am"	"gender"	"honorific"
"yemsa-VConj1AffDesiderative-am"	"gender"	"m"
"yemsa-VConj1AffDesiderative-am"	"gender"	"⊤"
"yemsa-VConj1AffDesiderative-am"	"ns#type"	"Term"
"yemsa-VConj1AffDesiderative-am"	"number"	"pl"
"yemsa-VConj1AffDesiderative-am"	"number"	"sg"
"yemsa-VConj1AffDesiderative-am"	"person"	"p1"
"yemsa-VConj1AffDesiderative-am"	"person"	"p2"
"yemsa-VConj1AffDesiderative-am"	"person"	"p3"
"yemsa-VConj1AffDesiderative-am"	"polarity"	"affirmative"
"yemsa-VConj1AffDesiderative-am"	"pos"	"verb"
"yemsa-VConj1AffDesiderative-am"	"tam"	"desiderative"
"yemsa-VConj1NegPretDubit-am"	"conjClass"	"conj1"
"yemsa-VConj1NegPretDubit-am"	"gender"	"f"
"yemsa-VConj1NegPretDubit-am"	"gender"	"honorific"
"yemsa-VConj1NegPretDubit-am"	"gender"	"m"
"yemsa-VConj1NegPretDubit-am"	"gender"	"⊤"
"yemsa-VConj1NegPretDubit-am"	"ns#type"	"Term"
"yemsa-VConj1NegPretDubit-am"	"number"	"pl"
"yemsa-VConj1NegPretDubit-am"	"number"	"sg"
"yemsa-VConj1NegPretDubit-am"	"person"	"p1"
"yemsa-VConj1NegPretDubit-am"	"person"	"p2"
"yemsa-VConj1NegPretDubit-am"	"person"	"p3"
"yemsa-VConj1NegPretDubit-am"	"polarity"	"negative"
"yemsa-VConj1NegPretDubit-am"	"pos"	"verb"
"yemsa-VConj1NegPretDubit-am"	"tam"	"preteriteDubitative"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"conjClass"	"conj2a"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"gender"	"honorific"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"gender"	"⊤"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"ns#type"	"Term"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"number"	"pl"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"number"	"sg"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"person"	"p2"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"polarity"	"affirmative"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"pos"	"verb"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"tam"	"imperative"
"yemsa-VConj2aAffImprtvMonosyll-fa"	"verbMorphClass"	"monosyll"
"yemsa-VConj1NegPotential-am"	"conjClass"	"conj1"
"yemsa-VConj1NegPotential-am"	"gender"	"f"
"yemsa-VConj1NegPotential-am"	"gender"	"honorific"
"yemsa-VConj1NegPotential-am"	"gender"	"m"
"yemsa-VConj1NegPotential-am"	"gender"	"⊤"
"yemsa-VConj1NegPotential-am"	"ns#type"	"Term"
"yemsa-VConj1NegPotential-am"	"number"	"pl"
"yemsa-VConj1NegPotential-am"	"number"	"sg"
"yemsa-VConj1NegPotential-am"	"person"	"p1"
"yemsa-VConj1NegPotential-am"	"person"	"p2"
"yemsa-VConj1NegPotential-am"	"person"	"p3"
"yemsa-VConj1NegPotential-am"	"polarity"	"negative"
"yemsa-VConj1NegPotential-am"	"pos"	"verb"
"yemsa-VConj1NegPotential-am"	"tam"	"potential"
"yemsa-VConj2AffImperf"	"conjClass"	"conj2"
"yemsa-VConj2AffImperf"	"gender"	"f"
"yemsa-VConj2AffImperf"	"gender"	"honorific"
"yemsa-VConj2AffImperf"	"gender"	"m"
"yemsa-VConj2AffImperf"	"gender"	"⊤"
"yemsa-VConj2AffImperf"	"ns#type"	"Term"
"yemsa-VConj2AffImperf"	"number"	"pl"
"yemsa-VConj2AffImperf"	"number"	"sg"
"yemsa-VConj2AffImperf"	"person"	"p1"
"yemsa-VConj2AffImperf"	"person"	"p2"
"yemsa-VConj2AffImperf"	"person"	"p3"
"yemsa-VConj2AffImperf"	"polarity"	"affirmative"
"yemsa-VConj2AffImperf"	"pos"	"verb"
"yemsa-VConj2AffImperf"	"tam"	"imperfect"
"yemsa-VConj3aAffGerPresMonosyll-di"	"conjClass"	"conj3a"
"yemsa-VConj3aAffGerPresMonosyll-di"	"gender"	"f"
"yemsa-VConj3aAffGerPresMonosyll-di"	"gender"	"⊤"
"yemsa-VConj3aAffGerPresMonosyll-di"	"ns#type"	"Term"
"yemsa-VConj3aAffGerPresMonosyll-di"	"number"	"sg"
"yemsa-VConj3aAffGerPresMonosyll-di"	"number"	"⊤"
"yemsa-VConj3aAffGerPresMonosyll-di"	"person"	"p1"
"yemsa-VConj3aAffGerPresMonosyll-di"	"person"	"p2"
"yemsa-VConj3aAffGerPresMonosyll-di"	"person"	"p3"
"yemsa-VConj3aAffGerPresMonosyll-di"	"polarity"	"affirmative"
"yemsa-VConj3aAffGerPresMonosyll-di"	"pos"	"verb"
"yemsa-VConj3aAffGerPresMonosyll-di"	"tam"	"gerPres"
"yemsa-VConj3aAffGerPresMonosyll-di"	"verbMorphClass"	"monosyll"
"yemsa-VConj1NegGerund-am"	"conjClass"	"conj1"
"yemsa-VConj1NegGerund-am"	"gender"	"f"
"yemsa-VConj1NegGerund-am"	"gender"	"honorific"
"yemsa-VConj1NegGerund-am"	"gender"	"m"
"yemsa-VConj1NegGerund-am"	"gender"	"⊤"
"yemsa-VConj1NegGerund-am"	"ns#type"	"Term"
"yemsa-VConj1NegGerund-am"	"number"	"pl"
"yemsa-VConj1NegGerund-am"	"number"	"sg"
"yemsa-VConj1NegGerund-am"	"person"	"p1"
"yemsa-VConj1NegGerund-am"	"person"	"p2"
"yemsa-VConj1NegGerund-am"	"person"	"p3"
"yemsa-VConj1NegGerund-am"	"polarity"	"negative"
"yemsa-VConj1NegGerund-am"	"pos"	"verb"
"yemsa-VConj1NegGerund-am"	"tam"	"gerund"
"yemsa-VConj1AffImperf-am"	"conjClass"	"conj1"
"yemsa-VConj1AffImperf-am"	"gender"	"f"
"yemsa-VConj1AffImperf-am"	"gender"	"honorific"
"yemsa-VConj1AffImperf-am"	"gender"	"m"
"yemsa-VConj1AffImperf-am"	"gender"	"⊤"
"yemsa-VConj1AffImperf-am"	"ns#type"	"Term"
"yemsa-VConj1AffImperf-am"	"number"	"pl"
"yemsa-VConj1AffImperf-am"	"number"	"sg"
"yemsa-VConj1AffImperf-am"	"person"	"p1"
"yemsa-VConj1AffImperf-am"	"person"	"p2"
