?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"absolutive"	"burji-PDemonstrative"
"pronoun"	"case"	"nominative"	"burji-PDemonstrative"
"pronoun"	"caseHead"	"absolutive"	"burji-PPoss"
"pronoun"	"caseHead"	"nominative"	"burji-PPoss"
"pronoun"	"deixis"	"far"	"burji-PDemonstrative"
"pronoun"	"deixis"	"near"	"burji-PDemonstrative"
"pronoun"	"genderHead"	"f"	"burji-PPoss"
"pronoun"	"genderHead"	"m"	"burji-PPoss"
"pronoun"	"genderPoss"	"f"	"burji-PPoss"
"pronoun"	"genderPoss"	"m"	"burji-PPoss"
"pronoun"	"interrClass"	"how"	"burji-PInterr"
"pronoun"	"interrClass"	"how_many"	"burji-PInterr"
"pronoun"	"interrClass"	"what"	"burji-PInterr"
"pronoun"	"interrClass"	"when"	"burji-PInterr"
"pronoun"	"interrClass"	"where"	"burji-PInterr"
"pronoun"	"interrClass"	"who"	"burji-PInterr"
"pronoun"	"ns#type"	"Term"	"burji-PDemonstrative"
"pronoun"	"ns#type"	"Term"	"burji-PInd"
"pronoun"	"ns#type"	"Term"	"burji-PInterr"
"pronoun"	"ns#type"	"Term"	"burji-PPersonal"
"pronoun"	"ns#type"	"Term"	"burji-PPoss"
"pronoun"	"proClass"	"demonstrative"	"burji-PDemonstrative"
"pronoun"	"proClass"	"independent"	"burji-PInd"
"pronoun"	"proClass"	"interrogative"	"burji-PInterr"
"pronoun"	"proClass"	"personal"	"burji-PPersonal"
"pronoun"	"proClass"	"possessive"	"burji-PPoss"
"pronoun"	"type"	"abs"	"burji-PPersonal"
"pronoun"	"type"	"absolutive"	"burji-PInd"
"pronoun"	"type"	"nom"	"burji-PPersonal"
"pronoun"	"type"	"nominative"	"burji-PInd"
"pronoun"	"type"	"obj"	"burji-PPersonal"
"pronoun"	"type"	"object"	"burji-PInd"
"verb"	"clauseMarker"	"noParticle"	"burji-VAffJuss-mar"
"verb"	"clauseMarker"	"particle"	"burji-VAffJuss-mar"
"verb"	"conjClass"	"irreg"	"burji-VAffImperfectReg-irreg"
