?pos	?property	?value	?pdgmlabel
"pronoun"	"ns#type"	"Term"	"dahalo-PBound"
"pronoun"	"ns#type"	"Term"	"dahalo-PInd"
"pronoun"	"ns#type"	"Term"	"dahalo-PPoss"
"pronoun"	"ns#type"	"Term"	"dahalo-PReduced"
"pronoun"	"proClass"	"bound"	"dahalo-PBound"
"pronoun"	"proClass"	"independent"	"dahalo-PInd"
"pronoun"	"proClass"	"possessive"	"dahalo-PPoss"
"pronoun"	"proClass"	"reduced"	"dahalo-PReduced"
"pronoun"	"type"	"f"	"dahalo-PPoss"
"pronoun"	"type"	"m-or-pl"	"dahalo-PPoss"
"verb"	"aspect"	"U"	"dahalo-VAffNonPastGen-lub"
"verb"	"aspect"	"U"	"dahalo-VAffNonPastSubj-lub"
"verb"	"aspect"	"U"	"dahalo-VNegImprtv-lub"
"verb"	"aspect"	"U"	"dahalo-VNegNonPastGen-lub"
"verb"	"aspect"	"U"	"dahalo-VNegNonPastSubj-lub"
"verb"	"aspect"	"U"	"dahalo-VNegPastGen-lub"
"verb"	"aspect"	"U"	"dahalo-VNegPastHab-lub"
"verb"	"aspect"	"U"	"dahalo-VNegPastSubj-lub"
"verb"	"aspect"	"imperfective"	"dahalo-VAffImprtvImperfective-lub"
"verb"	"aspect"	"imperfective"	"dahalo-VAffJussImperfective-lub"
"verb"	"aspect"	"imperfective"	"dahalo-VAffPastGenImperfective-lub"
"verb"	"aspect"	"imperfective"	"dahalo-VAffPastHabImperfective-lub"
"verb"	"aspect"	"imperfective"	"dahalo-VAffPastSubjImperfective-lub"
"verb"	"aspect"	"imperfective"	"dahalo-VNegJussImperfective-lub"
"verb"	"aspect"	"perfective"	"dahalo-VAffImprtvPerfective-lub"
"verb"	"aspect"	"perfective"	"dahalo-VAffJussPerfective-lub"
"verb"	"aspect"	"perfective"	"dahalo-VAffPastGenPerfective-lub"
"verb"	"aspect"	"perfective"	"dahalo-VAffPastHabPerfective-lub"
"verb"	"aspect"	"perfective"	"dahalo-VAffPastSubjPerfective-lub"
"verb"	"aspect"	"perfective"	"dahalo-VNegJussPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffImprtvImperfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffImprtvPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffJussImperfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffJussPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffNonPastGen-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffNonPastSubj-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffPastGenImperfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffPastGenPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffPastHabImperfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffPastHabPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffPastSubjImperfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VAffPastSubjPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegImprtv-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegJussImperfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegJussPerfective-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegNonPastGen-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegNonPastSubj-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegPastGen-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegPastHab-lub"
"verb"	"ns#type"	"Term"	"dahalo-VNegPastSubj-lub"
"verb"	"ns#type"	"Term"	"dahalo-VSelector"
"verb"	"polarity"	"affirmative"	"dahalo-VAffImprtvImperfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffImprtvPerfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffJussImperfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffJussPerfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffNonPastGen-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffNonPastSubj-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffPastGenImperfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffPastGenPerfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffPastHabImperfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffPastHabPerfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffPastSubjImperfective-lub"
"verb"	"polarity"	"affirmative"	"dahalo-VAffPastSubjPerfective-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegImprtv-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegJussImperfective-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegJussPerfective-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegNonPastGen-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegNonPastSubj-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegPastGen-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegPastHab-lub"
"verb"	"polarity"	"negative"	"dahalo-VNegPastSubj-lub"
"verb"	"selector"	"affirmative"	"dahalo-VSelector"
"verb"	"selector"	"allative"	"dahalo-VSelector"
"verb"	"selector"	"comitative"	"dahalo-VSelector"
"verb"	"selector"	"far"	"dahalo-VSelector"
"verb"	"selector"	"habitual"	"dahalo-VSelector"
"verb"	"selector"	"here"	"dahalo-VSelector"
"verb"	"selector"	"instrumental"	"dahalo-VSelector"
"verb"	"selector"	"irrealis"	"dahalo-VSelector"
"verb"	"selector"	"locative"	"dahalo-VSelector"
"verb"	"selector"	"near"	"dahalo-VSelector"
"verb"	"selector"	"negative"	"dahalo-VSelector"
"verb"	"selector"	"past"	"dahalo-VSelector"
"verb"	"selector"	"pcm"	"dahalo-VSelector"
"verb"	"selector"	"perfect"	"dahalo-VSelector"
"verb"	"selector"	"pro"	"dahalo-VSelector"
"verb"	"selector"	"there"	"dahalo-VSelector"
"verb"	"selector"	"ventive"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos1"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos2"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos3"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos4"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos5"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos6"	"dahalo-VSelector"
"verb"	"selectorPosition"	"pos7"	"dahalo-VSelector"
"verb"	"tam"	"imperative"	"dahalo-VAffImprtvImperfective-lub"
"verb"	"tam"	"imperative"	"dahalo-VAffImprtvPerfective-lub"
"verb"	"tam"	"imperative"	"dahalo-VNegImprtv-lub"
"verb"	"tam"	"jussive"	"dahalo-VAffJussImperfective-lub"
"verb"	"tam"	"jussive"	"dahalo-VAffJussPerfective-lub"
"verb"	"tam"	"jussive"	"dahalo-VNegJussImperfective-lub"
"verb"	"tam"	"jussive"	"dahalo-VNegJussPerfective-lub"
"verb"	"tam"	"nonPastGen"	"dahalo-VAffNonPastGen-lub"
"verb"	"tam"	"nonPastGen"	"dahalo-VNegNonPastGen-lub"
"verb"	"tam"	"nonPastSubj"	"dahalo-VAffNonPastSubj-lub"
"verb"	"tam"	"nonPastSubj"	"dahalo-VNegNonPastSubj-lub"
"verb"	"tam"	"pastGen"	"dahalo-VAffPastGenImperfective-lub"
"verb"	"tam"	"pastGen"	"dahalo-VAffPastGenPerfective-lub"
"verb"	"tam"	"pastGen"	"dahalo-VNegPastGen-lub"
"verb"	"tam"	"pastHabitual"	"dahalo-VAffPastHabImperfective-lub"
"verb"	"tam"	"pastHabitual"	"dahalo-VAffPastHabPerfective-lub"
"verb"	"tam"	"pastHabitual"	"dahalo-VNegPastHab-lub"
"verb"	"tam"	"pastSubj"	"dahalo-VAffPastSubjImperfective-lub"
"verb"	"tam"	"pastSubj"	"dahalo-VAffPastSubjPerfective-lub"
"verb"	"tam"	"pastSubj"	"dahalo-VNegPastSubj-lub"
"verb"	"verbMorphClass"	"selector"	"dahalo-VSelector"
