?pdgmlabel	?prop1	?val1
"kambaata-VAffJussive-mar"	"gender"	"f"
"kambaata-VAffJussive-mar"	"gender"	"m"
"kambaata-VAffJussive-mar"	"gender"	"⊤"
"kambaata-VAffJussive-mar"	"ns#type"	"Term"
"kambaata-VAffJussive-mar"	"number"	"pl"
"kambaata-VAffJussive-mar"	"number"	"sg"
"kambaata-VAffJussive-mar"	"person"	"p1"
"kambaata-VAffJussive-mar"	"person"	"p3"
"kambaata-VAffJussive-mar"	"polarity"	"affirmative"
"kambaata-VAffJussive-mar"	"pos"	"verb"
"kambaata-VAffPastProg-mar"	"gender"	"f"
"kambaata-VAffPastProg-mar"	"gender"	"m"
"kambaata-VAffPastProg-mar"	"gender"	"⊤"
"kambaata-VAffPastProg-mar"	"ns#type"	"Term"
"kambaata-VAffPastProg-mar"	"number"	"pl"
"kambaata-VAffPastProg-mar"	"number"	"sg"
"kambaata-VAffPastProg-mar"	"person"	"p1"
"kambaata-VAffPastProg-mar"	"person"	"p2"
"kambaata-VAffPastProg-mar"	"person"	"p3"
"kambaata-VAffPastProg-mar"	"polarity"	"affirmative"
"kambaata-VAffPastProg-mar"	"pos"	"verb"
"kambaata-VAffPastProg-mar"	"tam"	"pastProgressive"
"kambaata-VAffImperfectMar-"	"gender"	"f"
"kambaata-VAffImperfectMar-"	"gender"	"m"
"kambaata-VAffImperfectMar-"	"gender"	"p"
"kambaata-VAffImperfectMar-"	"gender"	"⊤"
"kambaata-VAffImperfectMar-"	"ns#type"	"Term"
"kambaata-VAffImperfectMar-"	"number"	"pl"
"kambaata-VAffImperfectMar-"	"number"	"sg"
"kambaata-VAffImperfectMar-"	"person"	"p1"
"kambaata-VAffImperfectMar-"	"person"	"p2"
"kambaata-VAffImperfectMar-"	"person"	"p3"
"kambaata-VAffImperfectMar-"	"polarity"	"affirmative"
"kambaata-VAffImperfectMar-"	"pos"	"verb"
"kambaata-VAffImperfectMar-"	"tam"	"imperfect"
"kambaata-VNegImprtv-mar"	"gender"	"⊤"
"kambaata-VNegImprtv-mar"	"ns#type"	"Term"
"kambaata-VNegImprtv-mar"	"number"	"pl"
"kambaata-VNegImprtv-mar"	"number"	"sg"
"kambaata-VNegImprtv-mar"	"person"	"p2"
"kambaata-VNegImprtv-mar"	"polarity"	"negative"
"kambaata-VNegImprtv-mar"	"pos"	"verb"
"kambaata-VAffPresPerf-mar"	"gender"	"f"
"kambaata-VAffPresPerf-mar"	"gender"	"m"
"kambaata-VAffPresPerf-mar"	"gender"	"polite"
"kambaata-VAffPresPerf-mar"	"gender"	"⊤"
"kambaata-VAffPresPerf-mar"	"ns#type"	"Term"
"kambaata-VAffPresPerf-mar"	"number"	"pl"
"kambaata-VAffPresPerf-mar"	"number"	"sg"
"kambaata-VAffPresPerf-mar"	"person"	"p1"
"kambaata-VAffPresPerf-mar"	"person"	"p2"
"kambaata-VAffPresPerf-mar"	"person"	"p3"
"kambaata-VAffPresPerf-mar"	"polarity"	"affirmative"
"kambaata-VAffPresPerf-mar"	"pos"	"verb"
"kambaata-VAffPresPerf-mar"	"tam"	"presentPerfect"
"kambaata-PPersonal"	"case"	"accusative"
"kambaata-PPersonal"	"case"	"nominative"
"kambaata-PPersonal"	"case"	"possessive"
"kambaata-PPersonal"	"gender"	"f"
"kambaata-PPersonal"	"gender"	"m"
"kambaata-PPersonal"	"gender"	"polite"
"kambaata-PPersonal"	"gender"	"⊤"
"kambaata-PPersonal"	"ns#type"	"Term"
"kambaata-PPersonal"	"number"	"pl"
"kambaata-PPersonal"	"number"	"sg"
"kambaata-PPersonal"	"person"	"p1"
"kambaata-PPersonal"	"person"	"p2"
"kambaata-PPersonal"	"person"	"p3"
"kambaata-PPersonal"	"pos"	"pronoun"
"kambaata-PPersonal"	"proClass"	"independent"
"kambaata-PPersonal"	"proClass"	"suffix"
"kambaata-VNegImprtvMar-"	"gender"	"⊤"
"kambaata-VNegImprtvMar-"	"ns#type"	"Term"
"kambaata-VNegImprtvMar-"	"number"	"pl"
"kambaata-VNegImprtvMar-"	"number"	"sg"
"kambaata-VNegImprtvMar-"	"person"	"p2"
"kambaata-VNegImprtvMar-"	"polarity"	"negative"
"kambaata-VNegImprtvMar-"	"pos"	"verb"
"kambaata-VNegImprtvMar-"	"tam"	"imperative"
"kambaata-VAffPresProg-mar"	"gender"	"f"
"kambaata-VAffPresProg-mar"	"gender"	"m"
"kambaata-VAffPresProg-mar"	"gender"	"polite"
"kambaata-VAffPresProg-mar"	"gender"	"⊤"
"kambaata-VAffPresProg-mar"	"ns#type"	"Term"
"kambaata-VAffPresProg-mar"	"number"	"pl"
"kambaata-VAffPresProg-mar"	"number"	"sg"
"kambaata-VAffPresProg-mar"	"person"	"p1"
"kambaata-VAffPresProg-mar"	"person"	"p2"
"kambaata-VAffPresProg-mar"	"person"	"p3"
"kambaata-VAffPresProg-mar"	"polarity"	"affirmative"
"kambaata-VAffPresProg-mar"	"pos"	"verb"
"kambaata-VAffPresProg-mar"	"tam"	"presentProgressive"
"kambaata-VAffImprtv-mar"	"gender"	"⊤"
"kambaata-VAffImprtv-mar"	"ns#type"	"Term"
"kambaata-VAffImprtv-mar"	"number"	"pl"
"kambaata-VAffImprtv-mar"	"number"	"sg"
"kambaata-VAffImprtv-mar"	"person"	"p2"
"kambaata-VAffImprtv-mar"	"polarity"	"affirmative"
"kambaata-VAffImprtv-mar"	"pos"	"verb"
"kambaata-VAffPresPerfMar-"	"gender"	"f"
"kambaata-VAffPresPerfMar-"	"gender"	"m"
"kambaata-VAffPresPerfMar-"	"gender"	"p"
"kambaata-VAffPresPerfMar-"	"gender"	"⊤"
