?pos	?property	?value	?pdgmlabel
"pronoun"	"case"	"genObj"	"arabic-PCliticPro"
"pronoun"	"case"	"nominative"	"arabic-PDemon"
"pronoun"	"case"	"nominative"	"arabic-PRel"
"pronoun"	"case"	"oblique"	"arabic-PDemon"
"pronoun"	"case"	"oblique"	"arabic-PRel"
"pronoun"	"deixis"	"far"	"arabic-PDemon"
"pronoun"	"deixis"	"near"	"arabic-PDemon"
"pronoun"	"ns#type"	"Term"	"arabic-PCliticPro"
"pronoun"	"ns#type"	"Term"	"arabic-PDemon"
"pronoun"	"ns#type"	"Term"	"arabic-PIndep"
"pronoun"	"ns#type"	"Term"	"arabic-PRel"
"pronoun"	"proClass"	"clitic"	"arabic-PCliticPro"
"pronoun"	"proClass"	"demonstrative"	"arabic-PDemon"
"pronoun"	"proClass"	"independent"	"arabic-PIndep"
"pronoun"	"proClass"	"relative"	"arabic-PRel"
"verb"	"aspect"	"imperfective"	"arabic-Vform1ActImperf-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform1ActImptv-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform1ActJuss-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform1ActSubj-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform1PassImperf-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform1PassJuss-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform1PassSubj-nsr"
"verb"	"aspect"	"imperfective"	"arabic-Vform2-fʕl"
"verb"	"aspect"	"imperfective"	"arabic-Vform3-fʕl"
"verb"	"aspect"	"perfect"	"arabic-Vform1ActPerf-nsr"
"verb"	"aspect"	"perfect"	"arabic-Vform1PassPerf-nsr"
"verb"	"aspect"	"perfect"	"arabic-Vform2-fʕl"
"verb"	"aspect"	"perfect"	"arabic-Vform3-fʕl"
"verb"	"dervStem"	"form1"	"arabic-Vform1ActImperf-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1ActImptv-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1ActJuss-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1ActPerf-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1ActSubj-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1Infinitive-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1Part-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1PassImperf-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1PassJuss-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1PassPerf-nsr"
"verb"	"dervStem"	"form1"	"arabic-Vform1PassSubj-nsr"
"verb"	"dervStem"	"form2"	"arabic-Vform2-fʕl"
"verb"	"dervStem"	"form2"	"arabic-Vform2Participle-fʕl"
"verb"	"dervStem"	"form2"	"arabic-Vform3nfiitive-fʕl"
"verb"	"dervStem"	"form3"	"arabic-Vform3-fʕl"
"verb"	"dervStem"	"form3"	"arabic-Vform3Infinitive-fʕl"
"verb"	"dervStem"	"form3"	"arabic-Vform3Participloe-fʕl"
"verb"	"infinitiveVar"	"infinitive1"	"arabic-Vform1Infinitive-nsr"
"verb"	"infinitiveVar"	"infinitive1"	"arabic-Vform3Infinitive-fʕl"
"verb"	"infinitiveVar"	"infinitive1"	"arabic-Vform3nfiitive-fʕl"
"verb"	"infinitiveVar"	"infinitive2"	"arabic-Vform1Infinitive-nsr"
"verb"	"infinitiveVar"	"infinitive2"	"arabic-Vform3Infinitive-fʕl"
"verb"	"infinitiveVar"	"infinitive2"	"arabic-Vform3nfiitive-fʕl"
"verb"	"infinitivetoken"	"infinitive1"	"arabic-Vform1Infinitive-nsr"
"verb"	"infinitivetoken"	"infinitive2"	"arabic-Vform1Infinitive-nsr"
"verb"	"mood"	"imperative"	"arabic-Vform1ActImptv-nsr"
"verb"	"mood"	"imperative"	"arabic-Vform2-fʕl"
"verb"	"mood"	"imperative"	"arabic-Vform3-fʕl"
"verb"	"mood"	"indicative"	"arabic-Vform1ActImperf-nsr"
"verb"	"mood"	"indicative"	"arabic-Vform1ActPerf-nsr"
"verb"	"mood"	"indicative"	"arabic-Vform1PassImperf-nsr"
"verb"	"mood"	"indicative"	"arabic-Vform1PassPerf-nsr"
"verb"	"mood"	"indicative"	"arabic-Vform2-fʕl"
"verb"	"mood"	"indicative"	"arabic-Vform3-fʕl"
"verb"	"mood"	"jussive"	"arabic-Vform1ActJuss-nsr"
"verb"	"mood"	"jussive"	"arabic-Vform1PassJuss-nsr"
"verb"	"mood"	"jussive"	"arabic-Vform2-fʕl"
"verb"	"mood"	"jussive"	"arabic-Vform3-fʕl"
"verb"	"mood"	"subjunctive"	"arabic-Vform1ActSubj-nsr"
"verb"	"mood"	"subjunctive"	"arabic-Vform1PassSubj-nsr"
"verb"	"mood"	"subjunctive"	"arabic-Vform2-fʕl"
"verb"	"mood"	"subjunctive"	"arabic-Vform3-fʕl"
"verb"	"ns#type"	"Term"	"arabic-Vform1ActImperf-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1ActImptv-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1ActJuss-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1ActPerf-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1ActSubj-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1Infinitive-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1Part-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1PassImperf-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1PassJuss-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1PassPerf-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform1PassSubj-nsr"
"verb"	"ns#type"	"Term"	"arabic-Vform2-fʕl"
"verb"	"ns#type"	"Term"	"arabic-Vform2Participle-fʕl"
"verb"	"ns#type"	"Term"	"arabic-Vform3-fʕl"
"verb"	"ns#type"	"Term"	"arabic-Vform3Infinitive-fʕl"
"verb"	"ns#type"	"Term"	"arabic-Vform3Participloe-fʕl"
"verb"	"ns#type"	"Term"	"arabic-Vform3nfiitive-fʕl"
"verb"	"state"	"constr"	"arabic-Vform1Part-nsr"
"verb"	"state"	"constr"	"arabic-Vform2Participle-fʕl"
"verb"	"state"	"nonConstr"	"arabic-Vform1Part-nsr"
"verb"	"state"	"nonConstr"	"arabic-Vform2Participle-fʕl"
"verb"	"stem"	"naʌṣir"	"arabic-Vform1Part-nsr"
"verb"	"stem"	"naṣiyr"	"arabic-Vform1Part-nsr"
"verb"	"stem"	"nṣuwr"	"arabic-Vform1Part-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1ActImperf-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1ActImptv-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1ActJuss-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1ActSubj-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1PassImperf-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1PassJuss-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform1PassSubj-nsr"
"verb"	"tense"	"nonpast"	"arabic-Vform2-fʕl"
"verb"	"tense"	"nonpast"	"arabic-Vform3-fʕl"
"verb"	"tense"	"past"	"arabic-Vform1ActPerf-nsr"
"verb"	"tense"	"past"	"arabic-Vform1PassPerf-nsr"
"verb"	"tense"	"past"	"arabic-Vform2-fʕl"
"verb"	"tense"	"past"	"arabic-Vform3-fʕl"
"verb"	"verbMorphClass"	"infinitive"	"arabic-Vform1Infinitive-nsr"
"verb"	"verbMorphClass"	"infinitive"	"arabic-Vform3Infinitive-fʕl"
"verb"	"verbMorphClass"	"infinitive"	"arabic-Vform3nfiitive-fʕl"
"verb"	"verbMorphClass"	"participle"	"arabic-Vform1Part-nsr"
"verb"	"verbMorphClass"	"participle"	"arabic-Vform2Participle-fʕl"
"verb"	"verbMorphClass"	"participle"	"arabic-Vform3Participloe-fʕl"
"verb"	"voice"	"active"	"arabic-Vform1ActImperf-nsr"
"verb"	"voice"	"active"	"arabic-Vform1ActImptv-nsr"
"verb"	"voice"	"active"	"arabic-Vform1ActJuss-nsr"
"verb"	"voice"	"active"	"arabic-Vform1ActPerf-nsr"
"verb"	"voice"	"active"	"arabic-Vform1ActSubj-nsr"
"verb"	"voice"	"active"	"arabic-Vform1Part-nsr"
"verb"	"voice"	"active"	"arabic-Vform2-fʕl"
"verb"	"voice"	"active"	"arabic-Vform2Participle-fʕl"
"verb"	"voice"	"active"	"arabic-Vform3-fʕl"
"verb"	"voice"	"active"	"arabic-Vform3Participloe-fʕl"
"verb"	"voice"	"passive"	"arabic-Vform1Part-nsr"
"verb"	"voice"	"passive"	"arabic-Vform1PassImperf-nsr"
"verb"	"voice"	"passive"	"arabic-Vform1PassJuss-nsr"
"verb"	"voice"	"passive"	"arabic-Vform1PassPerf-nsr"
"verb"	"voice"	"passive"	"arabic-Vform1PassSubj-nsr"
"verb"	"voice"	"passive"	"arabic-Vform2-fʕl"
"verb"	"voice"	"passive"	"arabic-Vform2Participle-fʕl"
"verb"	"voice"	"passive"	"arabic-Vform3-fʕl"
"verb"	"voice"	"stative"	"arabic-Vform1Part-nsr"
