?pos	?property	?value	?pdgmlabel
"pronoun"	"genderHead"	"f"	"gawwada-PPossSuff"
"pronoun"	"genderHead"	"m"	"gawwada-PPossSuff"
"pronoun"	"ns#type"	"Term"	"gawwada-PInd"
"pronoun"	"ns#type"	"Term"	"gawwada-PObjProclitic"
"pronoun"	"ns#type"	"Term"	"gawwada-PPossSuff"
"pronoun"	"ns#type"	"Term"	"gawwada-PSubjProclitic"
"pronoun"	"polarity"	"affirmative"	"gawwada-PSubjProclitic"
"pronoun"	"polarity"	"negative"	"gawwada-PSubjProclitic"
"pronoun"	"proClass"	"independent"	"gawwada-PInd"
"pronoun"	"proClass"	"objProclitic"	"gawwada-PObjProclitic"
"pronoun"	"proClass"	"possSuff"	"gawwada-PPossSuff"
"pronoun"	"proClass"	"subjProclitic"	"gawwada-PSubjProclitic"
"verb"	"dervStem"	"causative"	"gawwada-VDervStems"
"verb"	"dervStem"	"inceptive"	"gawwada-VDervStems"
"verb"	"dervStem"	"ingressive"	"gawwada-VDervStems"
"verb"	"dervStem"	"intensive"	"gawwada-VDervStems"
"verb"	"dervStem"	"middle"	"gawwada-VDervStems"
"verb"	"dervStem"	"passive"	"gawwada-VDervStems"
"verb"	"dervStem"	"semelfactive"	"gawwada-VDervStems"
"verb"	"focusType"	"k-Focus"	"gawwada-VFocusStructure"
"verb"	"focusType"	"subjFocus"	"gawwada-VFocusStructure"
"verb"	"focusType"	"verbFocus"	"gawwada-VFocusStructure"
"verb"	"inflClass"	"class1"	"gawwada-VConsecutiveTemplate"
"verb"	"inflClass"	"class1"	"gawwada-VPerfectiveFutureTemplate"
"verb"	"inflClass"	"class1"	"gawwada-VPerfectiveHabitualTemplate"
"verb"	"inflClass"	"class1"	"gawwada-VPerfectiveTemplate"
"verb"	"inflClass"	"class1a"	"gawwada-VImprtvExx"
"verb"	"inflClass"	"class1a"	"gawwada-VImprtvTemplate"
"verb"	"inflClass"	"class1b"	"gawwada-VImprtvExx"
"verb"	"inflClass"	"class1b"	"gawwada-VImprtvTemplate"
"verb"	"inflClass"	"class2"	"gawwada-VConsecutiveTemplate"
"verb"	"inflClass"	"class2"	"gawwada-VImprtvExx"
