?langLabel	?conjClass	?derivedStem	?derivedStemAug	?formType	?pdgmType	?polarity	?rootClass	?tam	?num	?pers	?gen	?token
"Beja-arteiga"									"Singular"	"Person1"	"Masc"	"=u"
"Beja-arteiga"									"Singular"	"Person1"	"Fem"	"=tu"
"Beja-arteiga"									"Singular"	"Person2"	"Masc"	"=w-a"
"Beja-arteiga"									"Singular"	"Person2"	"Fem"	"=tuu-i"
"Beja-arteiga"									"Singular"	"Person3"	"Masc"	"=u"
"Beja-arteiga"									"Singular"	"Person3"	"Fem"	"=tu"
"Beja-arteiga"									"Plural"	"Person1"	"Masc"	"=a"
"Beja-arteiga"									"Plural"	"Person1"	"Fem"	"=ta"
"Beja-arteiga"									"Plural"	"Person2"	"Masc"	"=aa-na"
"Beja-arteiga"									"Plural"	"Person2"	"Fem"	"=taa-na"
"Beja-arteiga"									"Plural"	"Person3"	"Masc"	"=a"
"Beja-arteiga"									"Plural"	"Person3"	"Fem"	"=ta"
"Beja-arteiga"						"Affirmative"		"Future"	"Singular"	"Person1"	"Common"	"tam-át"
"Beja-arteiga"						"Affirmative"		"Future"	"Singular"	"Person2"	"Masc"	"tam-át-a"
"Beja-arteiga"						"Affirmative"		"Future"	"Singular"	"Person2"	"Fem"	"tam-át-i"
"Beja-arteiga"						"Affirmative"		"Future"	"Plural"	"Person2"	"Common"	"tam-át-na"
"Beja-arteiga"				"Affix"					"Singular"	"Person1"	"Common"	"?a- ~ -Ø-"
"Beja-arteiga"				"Affix"					"Singular"	"Person2"	"Masc"	"ti-~ -Ø-/-t- + - `a"
"Beja-arteiga"				"Affix"					"Singular"	"Person2"	"Fem"	"ti-~ -Ø-/-t- + - `i"
"Beja-arteiga"				"Affix"					"Singular"	"Person3"	"Masc"	"?i-~ -Ø-/-y-"
"Beja-arteiga"				"Affix"					"Singular"	"Person3"	"Fem"	"ti-~ -Ø-/-t-"
"Beja-arteiga"				"Affix"					"Plural"	"Person1"	"Common"	"ni-/-n-"
"Beja-arteiga"				"Affix"					"Plural"	"Person2"	"Common"	"ti-/-t- + - `na"
"Beja-arteiga"				"Affix"					"Plural"	"Person3"	"Common"	"?i-/-y- + - `n(a)"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person1"	"Common"	"tamaa- `b/`t kaàkè"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person1"	"Common"	"kaàkè"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person2"	"Masc"	"kíttà = {kí-t-kaa- `a}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person2"	"Masc"	"tamaa- `b kíttà = {kí-t-kaa- `a}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person2"	"Fem"	"tamaa- `t kíttaày = {kí-t-kaa- `i}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person2"	"Fem"	"kíttaày = {kí-t-kaa- `i}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person3"	"Masc"	"kiìkè"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person3"	"Masc"	"tamaa- `b kiìkè"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person3"	"Fem"	"kíttè = {kí-t-kè}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Singular"	"Person3"	"Fem"	"tamaa- `t kíttè = {kí-t-kè}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Plural"	"Person1"	"Common"	"kínkè"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Plural"	"Person1"	"Common"	"tamaa- `b/`t kínkè"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Plural"	"Person2"	"Common"	"tamaa- `b/`t kítteèna = {kí-t-kee- `na}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Plural"	"Person2"	"Common"	"kítteèna = {kí-t-kee- `na}"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Plural"	"Person3"	"Common"	"tamaa- `b/`t kiìkeèn"
"Beja-arteiga"				"Compound"		"Negative"		"Past"	"Plural"	"Person3"	"Common"	"kiìkeèn"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Singular"	"Person1"	"Common"	"?-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Singular"	"Person2"	"Masc"	"t-iidbil- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Singular"	"Person2"	"Fem"	"t-iidbil- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Singular"	"Person3"	"Masc"	"?-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Singular"	"Person3"	"Fem"	"t-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Plural"	"Person1"	"Common"	"n-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Plural"	"Person2"	"Common"	"t-iidbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Aorist"	"Plural"	"Person3"	"Common"	"?-iidbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dibil- `a"
