dervStem	polarity	num	pers	gen	token
M	affirmative	sg	p1	 	beek-am-a
M	affirmative	sg	p2	 	beek-am-ta
M	affirmative	sg	p3	m	beek-am-a
M	affirmative	sg	p3	f	beek-am-ti
M	affirmative	pl	p1	 	beek-am-na
M	affirmative	pl	p2	 	beek-am-tu
M	affirmative	pl	p3	 	beek-am-u
M	negative	sg	p1	 	beek-am-u
M	negative	sg	p2	 	beek-am-tu
M	negative	sg	p3	m	beek-am-u
M	negative	sg	p3	f	beek-am-tu
M	negative	pl	p1	 	beek-am-nu
M	negative	pl	p2	 	beek-am-tani/u
M	negative	pl	p3	 	beek-am-ani/u
S	affirmative	sg	p1	 	beek-sis-a
S	affirmative	sg	p2	 	beek-sif-ta
S	affirmative	sg	p3	m	beek-sis-a
S	affirmative	sg	p3	f	beek-sif-ti
S	affirmative	pl	p1	 	beek-sif-na
S	affirmative	pl	p2	 	beek-sif-tu
S	affirmative	pl	p3	 	beek-sis-u
S	negative	sg	p1	 	beek-sis-u
S	negative	sg	p2	 	beek-sif-tu
S	negative	sg	p3	m	beek-sis-u
S	negative	sg	p3	f	beek-sif-tu
S	negative	pl	p1	 	beek-sif-nu
S	negative	pl	p2	 	beek-sif-tani/u
S	negative	pl	p3	 	beek-sis-ani/u
T	affirmative	sg	p1	 	beek-ad'-a
T	affirmative	sg	p2	 	beek-at-ta
T	affirmative	sg	p3	m	beek-at-a
T	affirmative	sg	p3	f	beek-at-ti
T	affirmative	pl	p1	 	beek-an-na
T	affirmative	pl	p2	 	beek-at-tu
T	affirmative	pl	p3	 	beek-at-u
T	negative	sg	p1	 	beek-ad'-u
T	negative	sg	p2	 	beek-at-tu
T	negative	sg	p3	m	beek-at-u
T	negative	sg	p3	f	beek-at-tu
T	negative	pl	p1	 	beek-an-nu
T	negative	pl	p2	 	beek-at-tani/u
T	negative	pl	p3	 	beek-at-ani/u
base	affirmative	sg	p1	 	beek-a
base	affirmative	sg	p2	 	beek-ta
base	affirmative	sg	p3	m	beek-a
base	affirmative	sg	p3	f	beek-ti
base	affirmative	pl	p1	 	beek-na
base	affirmative	pl	p2	 	beek-tu
base	affirmative	pl	p3	 	beek-u
base	negative	sg	p1	 	beek-u
base	negative	sg	p2	 	beek-tu
base	negative	sg	p3	m	beek-u
base	negative	sg	p3	f	beek-tu
base	negative	pl	p1	 	beek-nu
base	negative	pl	p2	 	beek-tani/u
base	negative	pl	p3	 	beek-ani/u

